Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,state
149,Udhampur,Jitendra Singh,जितेन्द्र सिंह,Bharatiya Janata Party,,,Jammu and Kashmir
150,Jammu,Jugal Kishore Sharma,जुगल किशोर शर्मा,Bharatiya Janata Party,,,Jammu and Kashmir
151,Rajmahal,Vijay Hansda,विजय हंसदक,Jharkhand Mukti Morcha,,,Jharkhand
152,Dumka (ST),Nalin Soren,नलिन सोरेन,Jharkhand Mukti Morcha,,,Jharkhand
153,Godda,Nishikant Dubey,निशिकांत दुबे,Bharatiya Janata Party,,,Jharkhand
154,Chatra,Kalicharan Singh,कालीचरण सिंह,Bharatiya Janata Party,,,Jharkhand
155,Kodarma,Annpurna Devi,अन्नपूर्णा देवी,Bharatiya Janata Party,,,Jharkhand
156,Giridih,Chandra Prakash Choudhary,चन्द्र प्रकाश चौधरी,All Jharkhand Students Union,,,Jharkhand
157,Dhanbad,Dulu Mahato,दुलू महतो,Bharatiya Janata Party,,,Jharkhand
158,Ranchi,Sanjay Seth,संजय सेठ,Bharatiya Janata Party,,,Jharkhand
159,Jamshedpur,Bidyut Baran Mahato,बिद्युत बरन महतो,Bharatiya Janata Party,,,Jharkhand
160,Singhbhum,Joba Majhi,जोबा माझी,Jharkhand Mukti Morcha,,,Jharkhand
161,Khunti,Kali Charan Munda,काली चरण मुंडा,Indian National Congress,,,Jharkhand
162,Lohardaga (ST),Sukhdeo Bhagat,सुखदेव भगत,Indian National Congress,,,Jharkhand
163,Palamau,Vishnu Dayal Ram,विष्णु दयाल राम,Bharatiya Janata Party,,,Jharkhand
164,Hazaribagh,Manish Jaiswal,मनीष जायसवाल,Bharatiya Janata Party,,,Jharkhand
165,Chikkodi,Priyanka Jarkiholi,प्रियंका जर्कीहोली,Indian National Congress,,,Karnataka
166,Belgaum,Jagadish Shettar,जगदीश शेट्टार,Bharatiya Janata Party,,,Karnataka
167,Bagalkot,P. C. Gaddigoudar,पी॰सी॰ गड्डीगौडर,Bharatiya Janata Party,,,Karnataka
168,Bijapur (SC),Ramesh Jigajinagi,रमेश जिगाजिनागी,Bharatiya Janata Party,,,Karnataka
169,Gulbarga,Radhakrishna,राधाकृष्ण,Indian National Congress,,,Karnataka
170,Raichur (ST),G Kumar Naik,जी॰ कुमार नायक,Indian National Congress,,,Karnataka
171,Bidar,Sagar Khandre,सागर ईश्वर खंड्रे,Indian National Congress,,,Karnataka
172,Koppal,K. Rajashekar Basavaraj Hitnal,के॰ राजशेखर बसवराज हितनाल,Indian National Congress,,,Karnataka
173,Bellary (ST),E. Tukaram,ई तुकाराम,Indian National Congress,,,Karnataka
174,Haveri,Basavaraj Bommai,बसवराज बोम्मायि,Bharatiya Janata Party,,,Karnataka
175,Dharwad,Pralhad Joshi,प्रह्लाद जोशी,Bharatiya Janata Party,,,Karnataka
176,Uttara Kannada,Vishweshwar Hegde Kageri,विश्वेश्वर हेगड़े कागेरी,Bharatiya Janata Party,,,Karnataka
177,Davanagere,Prabha Mallikarjun,प्रभा मल्लिकार्जुन,Indian National Congress,,,Karnataka
178,Shimoga,B. Y. Raghavendra,बी. वाई. राघवेंद्र,Bharatiya Janata Party,,,Karnataka
179,Udupi Chikmagalur,Kota Srinivas Poojary,कोटा श्रीनिवास पुजारी,Bharatiya Janata Party,,,Karnataka
180,Hassan,Shreyas M. Patel,श्रेयस एम॰ पटेल,Indian National Congress,,,Karnataka
181,Dakshina Kannada,Brijesh Chowta,क्यप्टान ब्रिजेश चौटा,Bharatiya Janata Party,,,Karnataka
182,Bharatiya Janata Party,Govind Karjol,गोविंद मकथप्पा करजोल,Bharatiya Janata Party,,,Karnataka
183,Bharatiya Janata Party,V. Somanna,वी॰ सोमन्ना,Bharatiya Janata Party,,,Karnataka
184,Mandya,H. D. Kumaraswamy,एच॰ डी॰ कुमारस्वामी,Janata Dal (Secular),,,Karnataka
185,Mysore,Yaduveer Wadiyar,यदुवीर कृष्णदत्त चामराज वोडयार,Bharatiya Janata Party,,,Karnataka
186,Chamarajanagar,Sunil Bose,सुनील बोस,Indian National Congress,,,Karnataka
187,Bangalore Rural,C. N. Manjunath,चोलेनाहल्ली नंजप्पा मंजूनाथ,Bharatiya Janata Party,,,Karnataka
188,Bangalore North,Shobha Karandlaje,शोभा कारनदलाजे,Bharatiya Janata Party,,,Karnataka
189,Bangalore Central,P. C. Mohan,पी॰सी॰ मोहन,Bharatiya Janata Party,,,Karnataka
190,Bangalore South,Tejasvi Surya,तेजस्वी सूर्य,Bharatiya Janata Party,,,Karnataka
191,Chikballapur,K. Sudhakar,केशव सुधाकर,Bharatiya Janata Party,,,Karnataka
192,Kolar,M. Mallesh Babu,एम॰ मल्लेश बाबू,Janata Dal (Secular),,,Karnataka
193,Kasaragod,Rajmohan Unnithan,राजमोहन उन्नीथन,Indian National Congress,,,Kerala
194,Kannur,K. Sudhakaran,कुम्बाकुडी सुधाकरन,Indian National Congress,,,Kerala
195,Vatakara,Shafi Parambil,शफी परम्बिल,Indian National Congress,,,Kerala
196,Wayanad,Rahul Gandhi (Resigned on 17 June 2024),"राहुल गांधी 
(17 जून 2024 को त्यागपत्र दिया)",Indian National Congress,,,Kerala
197,Kozhikode,M. K. Raghavan,"प्रियंका गांधी
(23 नवम्बर 2024 को चुनी गयीं)",Indian National Congress,,,Kerala
198,Malappuram,E. T. Muhammed Basheer,एम॰के॰ राघवन,Indian Union Muslim League,,,Kerala
199,Ponnani,M. P. Abdussamad Samadani,इ॰टी॰ मुहम्मद बशीर,Indian Union Muslim League,,,Kerala
200,Palakkad,V. K. Sreekandan,एमपी अब्दुस्समद समदानी,Indian National Congress,,,Kerala
201,Alathur,K. Radhakrishnan,वी॰के॰ श्रीकांदन,Communist Party of India (Marxist),,,Kerala
202,Thrissur,Suresh Gopi,के॰ राधाकृष्णन,Bharatiya Janata Party,,,Kerala
203,Chalakudy,Benny Behanan,सुरेश गोपी,Indian National Congress,,,Kerala
204,Ernakulam,Hibi Eden,बेनी बेहनन,Indian National Congress,,,Kerala
